,GEOID_COUSUB,med_hh_inc
694,0600000US1307391383,63573
695,0600000US1307590030,39354
696,0600000US1307591722,35240
697,0600000US1307791344,54333
698,0600000US1307792070,67100
699,0600000US1307792154,70442
700,0600000US1307792724,76014
701,0600000US1307992544,39943
702,0600000US1307993480,44115
703,0600000US1308190108,40652
704,0600000US1308190792,34722
705,0600000US1308391809,50972
706,0600000US1308392682,53036
707,0600000US1308393084,40915
708,0600000US1308590284,72143
709,0600000US1308590906,62157
710,0600000US1308790156,45417
711,0600000US1308790192,37773
712,0600000US1308790390,42553
713,0600000US1308790702,42827
714,0600000US1308791122,41328
715,0600000US1308792104,32439
716,0600000US1308990150,55719
717,0600000US1308990612,78848
718,0600000US1308991770,53040
719,0600000US1308992868,42023
720,0600000US1308993096,68265
721,0600000US1309190630,33611
722,0600000US1309190648,31492
723,0600000US1309191014,36738
724,0600000US1309192496,30804
725,0600000US1309390480,32404
726,0600000US1309393144,33794
727,0600000US1309393204,41392
728,0600000US1309590996,28212
729,0600000US1309593312,41165
730,0600000US1309790276,70288
731,0600000US1309790974,54633
732,0600000US1309791146,89130
733,0600000US1309793396,63750
734,0600000US1309990294,32510
735,0600000US1309990870,25563
736,0600000US1309991584,31146
737,0600000US1310191008,36897
738,0600000US1310193318,33545
739,0600000US1310391386,60236
740,0600000US1310392520,68519
741,0600000US1310392748,58346
742,0600000US1310590354,35917
743,0600000US1310590719,38980
744,0600000US1310591044,37815
745,0600000US1310790036,39706
746,0600000US1310792238,63438
747,0600000US1310792886,33276
748,0600000US1310792916,36217
749,0600000US1310793120,31201
750,0600000US1310990678,39167
751,0600000US1310992204,43750
752,0600000US1311190306,44027
753,0600000US1311191464,57159
754,0600000US1311191872,37342
755,0600000US1311192034,40875
756,0600000US1311192082,60642
757,0600000US1311390432,91312
758,0600000US1311391164,78051
759,0600000US1311392331,99063
760,0600000US1311590126,56799
761,0600000US1311590588,42997
762,0600000US1311592586,45543
763,0600000US1311592736,44288
764,0600000US1311790270,126865
765,0600000US1311790642,76068
766,0600000US1311790828,94155
767,0600000US1311792772,88073
768,0600000US1311990546,46275
769,0600000US1311991698,41313
770,0600000US1311992616,26424
771,0600000US1311992688,39271
772,0600000US1312190144,59069
773,0600000US1312190732,35017
774,0600000US1312191020,39582
775,0600000US1312191128,46216
776,0600000US1312192298,52447
777,0600000US1312192604,106295
778,0600000US1312390567,43072
779,0600000US1312391074,52744
780,0600000US1312392206,57205
781,0600000US1312392517,42206
782,0600000US1312392805,54152
783,0600000US1312591284,43438
784,0600000US1312592040,40990
785,0600000US1312790444,34409
786,0600000US1312791116,56416
787,0600000US1312791599,75089
788,0600000US1312792658,87998
789,0600000US1312792994,58011
790,0600000US1312990504,41089
791,0600000US1312991134,49714
792,0600000US1312992460,48030
793,0600000US1312992880,47623
794,0600000US1313190498,40863
795,0600000US1313190510,45833
796,0600000US1313192216,65594
797,0600000US1313192804,50833
798,0600000US1313192832,42417
799,0600000US1313193354,46063
800,0600000US1313391356,57399
801,0600000US1313391374,31250
802,0600000US1313392766,31429
803,0600000US1313393156,30844
804,0600000US1313393366,56908
805,0600000US1313393432,29583
806,0600000US1313590469,77806
807,0600000US1313590846,90787
808,0600000US1313591704,63910
809,0600000US1313591740,52123
810,0600000US1313592178,58669
811,0600000US1313592790,76198
812,0600000US1313592910,71819
813,0600000US1313790672,50839
814,0600000US1313790798,46415
815,0600000US1313793102,49423
816,0600000US1313990690,62722
817,0600000US1313991188,76025
818,0600000US1313991260,51255
819,0600000US1313991836,49505
820,0600000US1313992118,66848
821,0600000US1313992250,59537
822,0600000US1314190930,42321
823,0600000US1314191758,53333
824,0600000US1314191944,-
825,0600000US1314192826,29148
826,0600000US1314390372,50873
827,0600000US1314390450,45689
828,0600000US1314392958,43628
829,0600000US1314591398,83333
830,0600000US1314592370,59178
831,0600000US1314592760,53056
832,0600000US1314593288,81520
833,0600000US1314790348,54696
834,0600000US1314791428,38125
835,0600000US1314792466,43497
836,0600000US1314792622,39066
837,0600000US1314990606,54278
838,0600000US1314991248,36008
839,0600000US1314992988,49375
840,0600000US1315191404,67540
841,0600000US1315191800,65571
842,0600000US1315191878,74652
843,0600000US1315192862,61893
844,0600000US1315391056,72911
845,0600000US1315392352,60105
846,0600000US1315393252,57605
847,0600000US1315591518,45134
848,0600000US1315591560,41316
849,0600000US1315592262,27456
850,0600000US1315790762,51120
851,0600000US1315791596,64133
852,0600000US1315791962,42868
853,0600000US1315792172,49314
854,0600000US1315793330,75008
855,0600000US1315991098,52188
856,0600000US1315991476,44453
857,0600000US1315992064,39483
858,0600000US1315992730,43125
859,0600000US1316190924,40947
860,0600000US1316191440,35413
861,0600000US1316391812,27960
862,0600000US1316392838,48036
863,0600000US1316393228,32077
864,0600000US1316393444,37304
865,0600000US1316592019,25744
866,0600000US1316592806,38220
867,0600000US1316790042,30069
868,0600000US1316791662,48403
869,0600000US1316793332,52560
870,0600000US1316793450,35987
871,0600000US1316991351,55030
872,0600000US1316992610,45833
873,0600000US1317190216,35766
874,0600000US1317192028,52848
875,0600000US1317391010,38429
876,0600000US1317391680,40109
877,0600000US1317590378,37646
878,0600000US1317590492,26432
879,0600000US1317590594,40670
880,0600000US1317590936,40781
881,0600000US1317590978,38130
882,0600000US1317590984,56534
883,0600000US1317591002,32440
884,0600000US1317592484,32377
885,0600000US1317791716,74549
886,0600000US1317792358,54627
887,0600000US1317792778,31914
888,0600000US1317991488,45330
889,0600000US1317991998,53686
890,0600000US1317992502,43670
891,0600000US1318191752,41220
892,0600000US1318192807,40694
893,0600000US1318391818,57677
894,0600000US1318391824,52433
895,0600000US1318590228,55103
896,0600000US1318591392,75364
897,0600000US1318591686,44238
898,0600000US1318592136,60189
899,0600000US1318593168,33712
900,0600000US1318790852,39905
901,0600000US1318793024,59000
902,0600000US1318990912,41506
903,0600000US1318993018,36867
904,0600000US1319190882,44761
905,0600000US1319193078,67292
906,0600000US1319391542,38225
907,0600000US1319391932,22248
908,0600000US1319392052,32105
909,0600000US1319392274,31587
910,0600000US1319590402,52768
911,0600000US1319590714,58609
912,0600000US1319590756,39719
913,0600000US1319590876,55819
914,0600000US1319591548,42766
915,0600000US1319790462,41777
916,0600000US1319792207,52586
917,0600000US1319991266,45000
918,0600000US1319991368,34110
919,0600000US1319991854,35659
920,0600000US1319991908,32722
921,0600000US1319993246,37414
922,0600000US1319993414,39000
923,0600000US1320190246,44028
924,0600000US1320190744,36422
925,0600000US1320191950,51652
926,0600000US1320590186,42367
927,0600000US1320590366,33162
928,0600000US1320590522,32866
929,0600000US1320592340,37746
930,0600000US1320592664,38669
931,0600000US1320790822,68613
932,0600000US1320791206,44107
933,0600000US1320992106,36913
934,0600000US1320992964,54653
935,0600000US1320993162,41994
936,0600000US1321190336,64504
937,0600000US1321190456,71591
938,0600000US1321191314,61538
939,0600000US1321191902,57788
940,0600000US1321192640,56250
941,0600000US1321390576,39352
942,0600000US1321390618,45713
943,0600000US1321390666,47951
944,0600000US1321390810,47178
945,0600000US1321590751,41709
946,0600000US1321590752,70598
947,0600000US1321590753,27301
948,0600000US1321591213,55817
949,0600000US1321790804,51707
950,0600000US1321791920,78510
951,0600000US1321792810,49238
952,0600000US1321990324,90417
953,0600000US1321991050,79920
954,0600000US1321993282,86881
955,0600000US1322190814,44636
956,0600000US1322191938,53594
957,0600000US1322193186,43857
958,0600000US1322390858,57327
959,0600000US1322391494,66151
960,0600000US1322392210,86005
961,0600000US1322393462,56684
962,0600000US1322590486,53088
963,0600000US1322591242,33646
964,0600000US1322791590,54259
965,0600000US1322791830,62353
966,0600000US1322792139,78304
967,0600000US1322792952,53393
968,0600000US1322990282,43283
969,0600000US1322990396,40950
970,0600000US1322992322,47470
971,0600000US1323190768,56325
972,0600000US1323191968,54881
973,0600000US1323193384,68988
974,0600000US1323193474,58776
975,0600000US1323390114,49404
976,0600000US1323390600,42073
977,0600000US1323392568,48411
978,0600000US1323591170,37393
979,0600000US1323591422,38581
980,0600000US1323591434,39217
981,0600000US1323791032,37856
982,0600000US1323791782,60024
983,0600000US1323792364,58460
984,0600000US1323991272,42188
985,0600000US1323991278,21327
986,0600000US1324190684,38798
987,0600000US1324192103,36305
988,0600000US1324193042,48665
989,0600000US1324390252,43162
990,0600000US1324390840,30845
991,0600000US1324392754,26731
992,0600000US1324590168,38362
993,0600000US1324591224,56576
